source,target,relationship,weight
microsoft/vscode-copilot-release#6398,inline-chat,has_label,1
microsoft/vscode-copilot-release#6398,info-needed,has_label,1
microsoft/vscode-copilot-release#6398,inline-chat-v1,has_label,1
microsoft/vscode-copilot-release#7855,info-needed,has_label,1
microsoft/vscode-copilot-release#7855,inline-chat-v1,has_label,1
microsoft/vscode-copilot-release#8757,info-needed,has_label,1
microsoft/vscode-copilot-release#8871,inline-chat,has_label,1
microsoft/vscode-copilot-release#8871,info-needed,has_label,1
microsoft/vscode-copilot-release#8871,/fix,has_label,1
microsoft/vscode-copilot-release#9719,info-needed,has_label,1
microsoft/vscode-copilot-release#9719,inline-chat-v1,has_label,1
microsoft/vscode-copilot-release#9766,inline-chat,has_label,1
microsoft/vscode-copilot-release#9766,info-needed,has_label,1
microsoft/vscode-copilot-release#9766,inline-chat-v1,has_label,1
microsoft/vscode-copilot-release#11935,info-needed,has_label,1
microsoft/vscode-copilot-release#11935,inline-chat-v1,has_label,1
microsoft/vscode-copilot-release#11938,info-needed,has_label,1
microsoft/vscode-copilot-release#11938,inline-chat-v1,has_label,1
microsoft/vscode-copilot-release#3736,bug,has_label,1
microsoft/vscode-copilot-release#4244,bug,has_label,1
microsoft/vscode-copilot-release#8150,info-needed,has_label,1
microsoft/vscode-copilot-release#3064,bug,has_label,1
microsoft/vscode-copilot-release#655,feature-request,has_label,1
microsoft/vscode-copilot-release#655,/fix,has_label,1
microsoft/vscode-copilot-release#655,*duplicate,has_label,1
microsoft/vscode-copilot-release#2748,polish,has_label,1
microsoft/vscode-copilot-release#2748,/tests,has_label,1
microsoft/vscode-copilot-release#1697,bug,has_label,1
microsoft/vscode-copilot-release#1697,intent-detection,has_label,1
microsoft/vscode-copilot-release#3399,info-needed,has_label,1
microsoft/vscode-copilot-release#5535,info-needed,has_label,1
microsoft/vscode-copilot-release#6445,info-needed,has_label,1
microsoft/vscode-copilot-release#6852,info-needed,has_label,1
microsoft/vscode-copilot-release#11472,feature-request,has_label,1
microsoft/vscode-copilot-release#1378,bug,has_label,1
microsoft/vscode-copilot-release#1378,code-actions,has_label,1
microsoft/vscode-copilot-release#4613,bug,has_label,1
microsoft/vscode-copilot-release#4613,info-needed,has_label,1
microsoft/vscode-copilot-release#4613,notebook,has_label,1
microsoft/vscode-copilot-release#740,feature-request,has_label,1
microsoft/vscode-copilot-release#740,@workspace,has_label,1
microsoft/vscode-copilot-release#11997,freeze-slow-crash-leak,has_label,1
microsoft/vscode-copilot-release#11758,chat-agent,has_label,1
microsoft/vscode-copilot-release#3751,triage-needed,has_label,1
microsoft/vscode-copilot-release#6531,triage-needed,has_label,1
microsoft/vscode-copilot-release#6531,~rai-content-filters,has_label,1
microsoft/vscode-copilot-release#6620,triage-needed,has_label,1
microsoft/vscode-copilot-release#6670,~rai-content-filters,has_label,1
microsoft/vscode-copilot-release#7931,chat-agent,has_label,1
microsoft/vscode-copilot-release#8745,NES,has_label,1
microsoft/vscode-copilot-release#6233,capi,has_label,1
microsoft/vscode-copilot-release#1025,bug,has_label,1
microsoft/vscode-copilot-release#1025,/new,has_label,1
microsoft/vscode-copilot-release#1147,feature-request,has_label,1
microsoft/vscode-copilot-release#1147,/new,has_label,1
microsoft/vscode-copilot-release#778,bug,has_label,1
microsoft/vscode-copilot-release#2078,bug,has_label,1
microsoft/vscode-copilot-release#2078,postponed-during-endgame,has_label,1
microsoft/vscode-copilot-release#2898,triage-needed,has_label,1
microsoft/vscode-copilot-release#3623,bug,has_label,1
microsoft/vscode-copilot-release#3623,postponed-during-endgame,has_label,1
microsoft/vscode-copilot-release#6778,feature-request,has_label,1
microsoft/vscode-copilot-release#1602,bug,has_label,1
microsoft/vscode-copilot-release#1602,postponed-during-endgame,has_label,1
microsoft/vscode-copilot-release#1096,feature-request,has_label,1
microsoft/vscode-copilot-release#392,bug,has_label,1
microsoft/vscode-copilot-release#392,/new,has_label,1
microsoft/vscode-copilot-release#392,confirmed,has_label,1
microsoft/vscode-copilot-release#2848,triage-needed,has_label,1
microsoft/vscode-copilot-release#518,feature-request,has_label,1
microsoft/vscode-copilot-release#518,/new,has_label,1
microsoft/vscode-copilot-release#2775,triage-needed,has_label,1
microsoft/vscode-copilot-release#2758,triage-needed,has_label,1
microsoft/vscode-copilot-release#9058,bug,has_label,1
microsoft/vscode-copilot-release#320,feature-request,has_label,1
microsoft/vscode-copilot-release#320,/new,has_label,1
microsoft/vscode-copilot-release#6915,info-needed,has_label,1
microsoft/vscode-copilot-release#2753,triage-needed,has_label,1
microsoft/vscode-copilot-release#6662,triage-needed,has_label,1
microsoft/vscode-copilot-release#6642,~request-failed,has_label,1
microsoft/vscode-copilot-release#11236,out-of-scope,has_label,1
microsoft/vscode-copilot-release#12614,ai-translated,has_label,1
microsoft/vscode-copilot-release#12605,ai-translated,has_label,1
microsoft/vscode-copilot-release#12691,capi,has_label,1
openai/codex#23102,bug,has_label,1
openai/codex#23102,iOS,has_label,1
openai/codex#23102,connectivity,has_label,1
openai/codex#23102,app-server,has_label,1
openai/codex#23102,remote,has_label,1
openai/codex#24424,bug,has_label,1
openai/codex#24424,iOS,has_label,1
openai/codex#24424,connectivity,has_label,1
openai/codex#24424,app-server,has_label,1
openai/codex#24424,remote,has_label,1
openai/codex#20161,bug,has_label,1
openai/codex#20161,auth,has_label,1
openai/codex#24426,enhancement,has_label,1
openai/codex#24426,code-review,has_label,1
openai/codex#24426,extension,has_label,1
openai/codex#24426,app,has_label,1
openai/codex#24425,bug,has_label,1
