source,target,relationship,weight
SOLAR_FIELDS,hn_42675725,commented_on_story,1
SOLAR_FIELDS,hn_46978710,commented_on_story,1
SSchick,hn_45320431,commented_on_story,1
SamTinnerholm,hn_45722635,commented_on_story,1
Scene_Cast2,hn_44031432,commented_on_story,1
Seanambers,hn_44302870,commented_on_story,1
Seattle3503,hn_47633396,commented_on_story,1
Sevii,hn_46765120,commented_on_story,1
Sharlin,hn_46765120,commented_on_story,1
SimianSci,hn_46734302,commented_on_story,1
SirMaster,hn_42675725,commented_on_story,1
SkyPuncher,hn_43448432,commented_on_story,1
SkyPuncher,hn_43815033,commented_on_story,1
SkyPuncher,hn_47660925,commented_on_story,1
Someone1234,hn_35261065,commented_on_story,1
Spinnaker_,hn_29016506,commented_on_story,1
SpyCoder77,hn_48140747,posted_story,1
Squarex,hn_47584540,commented_on_story,1
SquibblesRedux,hn_47586778,commented_on_story,1
StanAngeloff,hn_47660925,posted_story,1
StarlaAtNight,hn_46542036,commented_on_story,1
SteveJS,hn_44780878,commented_on_story,1
Symmetry,hn_46985151,commented_on_story,1
TYPE_FASTER,hn_44966856,commented_on_story,1
TZubiri,hn_47521799,commented_on_story,2
TeMPOraL,hn_47762901,commented_on_story,1
TeeMassive,hn_32327711,commented_on_story,1
Terr_,hn_46534402,commented_on_story,1
ThailandJohn,hn_45165897,posted_story,1
Thanemate,hn_47282777,commented_on_story,1
TheGoodBarn,hn_46420453,commented_on_story,1
Thorentis,hn_29016506,commented_on_story,1
Tiberium,hn_46420453,commented_on_story,1
Tom-G,hn_43894886,posted_story,1
Tomte,hn_40919253,commented_on_story,1
TonyTrapp,hn_42453341,commented_on_story,1
Topfi,hn_36495680,commented_on_story,1
Trasmatta,hn_43448432,commented_on_story,1
Traster,hn_31405976,commented_on_story,1
TriangleEdge,hn_43163011,commented_on_story,1
TuringNYC,hn_42453341,commented_on_story,1
TuringNYC,hn_44966856,commented_on_story,1
TutleCpt,hn_47282777,commented_on_story,1
Uninen,hn_43163011,commented_on_story,1
VMtest,hn_27687450,commented_on_story,1
VadimPR,hn_47584540,commented_on_story,1
Velorivox,hn_43815033,commented_on_story,1
Vermeulen,hn_28131745,commented_on_story,1
ViktorKuz,hn_46183845,posted_story,1
VitalStack,hn_47530870,commented_on_story,1
WXLCKNO,hn_46978710,posted_story,1
WarmWash,hn_46765120,commented_on_story,1
WaterRun,hn_47597085,commented_on_story,1
Waterluvian,hn_28191362,commented_on_story,1
Waterluvian,hn_33226515,commented_on_story,1
WesternWind,hn_40919253,commented_on_story,1
WhereIsTheTruth,hn_35921375,commented_on_story,1
WhiteDawn,hn_47838508,commented_on_story,1
WhitneyLand,hn_46810282,commented_on_story,1
WhyOhWhyQ,hn_46227422,commented_on_story,1
Will_Neutralis,hn_45945898,posted_story,1
Workaccount2,hn_43988315,commented_on_story,1
Wowfunhappy,hn_35921375,commented_on_story,1
Wowfunhappy,hn_46593022,commented_on_story,1
Wowfunhappy,hn_47633396,commented_on_story,1
WrtCdEvrydy,hn_32327711,commented_on_story,1
X-Istence,hn_31825742,commented_on_story,1
YeGoblynQueenne,hn_27676266,commented_on_story,1
YossarianFrPrez,hn_43988315,commented_on_story,1
Z37K,hn_44742251,commented_on_story,1
Zanfa,hn_44742251,commented_on_story,1
Zenst,hn_28191362,commented_on_story,1
_--__--__,hn_43988315,commented_on_story,1
_9ptr,hn_45320431,commented_on_story,1
__anon-2023__,hn_35264725,commented_on_story,1
__blockcipher__,hn_47963204,commented_on_story,1
__jl__,hn_42453341,commented_on_story,1
__lbracket__,hn_44940089,commented_on_story,1
_aaed,hn_35264725,commented_on_story,1
_alaya,hn_46985151,commented_on_story,1
_doctor_love,hn_48037128,commented_on_story,1
_greim_,hn_27687450,commented_on_story,1
_joel,hn_43410866,commented_on_story,1
_jss,hn_48037128,commented_on_story,1
_mitterpach,hn_43193018,commented_on_story,1
_odey,hn_43246130,commented_on_story,1
_pdp_,hn_44864185,commented_on_story,1
_pdp_,hn_47521799,commented_on_story,1
_pdp_,hn_47923357,commented_on_story,1
_ryanjsalva,hn_33226515,commented_on_story,1
_zachs,hn_46810282,commented_on_story,1
a-r-t,hn_27676266,commented_on_story,1
a1o,hn_47167931,commented_on_story,1
a_shovel,hn_47664912,commented_on_story,1
aardvarkr,hn_28191362,commented_on_story,1
aaron695,hn_28191362,commented_on_story,1
aaroninsf,hn_47077676,commented_on_story,1
abailie3,hn_45204768,commented_on_story,1
abcde666777,hn_47006615,commented_on_story,1
abdullin,hn_47963204,commented_on_story,1
abeppu,hn_27687450,commented_on_story,1
abeppu,hn_28131745,commented_on_story,1
abetusk,hn_35657982,commented_on_story,1
abigail95,hn_35657982,commented_on_story,1
abouttyme,hn_33457063,commented_on_story,1
abullinan,hn_44966856,commented_on_story,1
acc_297,hn_42453341,commented_on_story,1
accelbred,hn_35470915,commented_on_story,1
account266928,hn_46810282,commented_on_story,1
accountofme,hn_31405976,commented_on_story,1
adg33,hn_35921375,commented_on_story,1
adhamsalama,hn_42453341,commented_on_story,1
adidoit,hn_46089546,commented_on_story,1
adithyassekhar,hn_47106686,commented_on_story,1
adlpz,hn_33457063,commented_on_story,1
admissionsguy,hn_27697884,commented_on_story,1
adocomplete,hn_43815033,commented_on_story,1
adocomplete,hn_46593022,posted_story,1
adonese,hn_39168105,commented_on_story,1
aenis,hn_48037128,commented_on_story,1
aeon_ai,hn_45416228,commented_on_story,1
aerhardt,hn_46765460,commented_on_story,1
aerhardt,hn_47660925,commented_on_story,1
aeternum,hn_44966856,commented_on_story,1
afarah1,hn_46545620,commented_on_story,1
afarviral,hn_27687450,commented_on_story,1
afiodorov,hn_43739037,commented_on_story,1
afro88,hn_47660925,commented_on_story,1
agentifysh,hn_47077676,commented_on_story,1
agile-gift0262,hn_44742251,commented_on_story,1
agnosticmantis,hn_45722635,commented_on_story,1
agomez314,hn_27687450,posted_story,1
agos,hn_47762901,commented_on_story,1
agrippanux,hn_47633396,commented_on_story,1
ahnick,hn_31825742,commented_on_story,1
ahupp,hn_29016506,commented_on_story,1
ai-christianson,hn_42963279,commented_on_story,1
ai-christianson,hn_43754620,commented_on_story,1
ai_tools_daily,hn_47077676,commented_on_story,1
aiappreciator,hn_36326525,commented_on_story,1
airstrike,hn_47768133,commented_on_story,1
aitchnyu,hn_47762901,commented_on_story,1
akagusu,hn_27687450,commented_on_story,1
akkartik,hn_32577624,commented_on_story,1
akrymski,hn_35470915,commented_on_story,1
al_borland,hn_47282777,commented_on_story,1
alasano,hn_47633396,commented_on_story,1
albertTJames,hn_40919253,commented_on_story,1
albertzeyer,hn_33457063,commented_on_story,1
alecco,hn_43448432,commented_on_story,1
alecco,hn_44864185,commented_on_story,1
alecco,hn_45416228,commented_on_story,1
aledevv,hn_47762901,commented_on_story,1
aleksiy123,hn_47838508,commented_on_story,1
alentred,hn_46765120,commented_on_story,1
alex000kim,hn_47586778,posted_story,1
alexaholic,hn_47838508,commented_on_story,1
alexanderisora,hn_34595503,posted_story,1
alexdobrenko,hn_46593022,commented_on_story,1
alexellisuk,hn_29016506,commented_on_story,1
alexrezvov,hn_47106686,commented_on_story,1
algoghostf,hn_41505157,posted_story,1
aliljet,hn_46985151,commented_on_story,1
alkonaut,hn_39168105,commented_on_story,1
allthenopes25,hn_44031432,commented_on_story,1
alokjnv10,hn_36326525,commented_on_story,1
alphabet9000,hn_35657982,commented_on_story,1
alphazard,hn_43739037,commented_on_story,1
alsodumb,hn_35152851,commented_on_story,1
altern8,hn_46765460,commented_on_story,1
alvatar,hn_46734302,commented_on_story,1
alvis,hn_44031432,commented_on_story,1
am17an,hn_28131745,commented_on_story,1
amalive,hn_28131745,commented_on_story,1
amangsingh,hn_47597085,commented_on_story,1
amarant,hn_47664912,commented_on_story,1
amarka,hn_46542036,commented_on_story,1
amelius,hn_32327711,commented_on_story,1
amelius,hn_44742251,commented_on_story,1
amelius,hn_46542036,commented_on_story,1
amirathi,hn_31825742,commented_on_story,1
amrrs,hn_28131745,commented_on_story,1
amrrs,hn_28191362,commented_on_story,1
an1sotropy,hn_33226515,commented_on_story,1
an1sotropy,hn_33457063,commented_on_story,1
andai,hn_46765460,commented_on_story,1
andai,hn_47762901,commented_on_story,1
andai,hn_47768133,commented_on_story,1
anderslaub,hn_43410866,commented_on_story,1
andrewstuart,hn_44864185,commented_on_story,1
androng,hn_43815033,commented_on_story,1
andsoitis,hn_42963279,commented_on_story,1
andy99,hn_43988315,commented_on_story,1
anigbrowl,hn_45722635,commented_on_story,1
anoek,hn_44675557,commented_on_story,1
anonymid,hn_45416228,commented_on_story,1
anonymousiam,hn_45163362,commented_on_story,1
anonzzzies,hn_43739037,commented_on_story,1
anonzzzies,hn_44811567,commented_on_story,1
anonzzzies,hn_45320431,commented_on_story,1
anotherpaulg,hn_36495680,commented_on_story,1
anotherpaulg,hn_43163011,commented_on_story,1
anotheryou,hn_35264725,commented_on_story,1
antirez,hn_44780878,commented_on_story,1
antirez,hn_46765120,commented_on_story,1
antirez,hn_46810282,commented_on_story,1
antonly,hn_45165897,commented_on_story,1
ants_everywhere,hn_44966856,commented_on_story,1
anttiharju,hn_46542036,commented_on_story,1
anujdeshpande,hn_33226515,commented_on_story,1
anupshinde,hn_44780878,commented_on_story,1
anxtyinmgmt,hn_35152851,commented_on_story,1
apeace,hn_47597085,commented_on_story,1
apetuskey,hn_35152851,commented_on_story,1
aphexcx,hn_37065734,commented_on_story,1
appease7727,hn_44966856,commented_on_story,1
appsoftware,hn_46593022,commented_on_story,1
apsec112,hn_43163011,commented_on_story,1
apwell23,hn_44811567,commented_on_story,1
aramova,hn_47660925,commented_on_story,1
archibaldJ,hn_28191362,commented_on_story,1
arco1991,hn_35470915,commented_on_story,1
ardillamorris,hn_44966856,commented_on_story,1
ares623,hn_46985151,commented_on_story,1
ares623,hn_47282777,commented_on_story,1
arewethereyeta,hn_47633396,commented_on_story,1
arjie,hn_45416228,commented_on_story,1
arjunbanker,hn_47006615,posted_story,1
arkariarn,hn_47878905,commented_on_story,1
armanj,hn_47633396,commented_on_story,1
armcat,hn_46545620,commented_on_story,1
armchairhacker,hn_35657982,commented_on_story,1
armchairhacker,hn_47660925,commented_on_story,1
arresin,hn_46810282,commented_on_story,1
arthur_sav,hn_45876436,posted_story,1
artisin,hn_46978710,commented_on_story,1
artyom,hn_47586778,commented_on_story,1
asadm,hn_43708025,commented_on_story,1
asadm,hn_44031432,commented_on_story,1
asawfofor,hn_44811567,commented_on_story,1
ascorbic,hn_31825742,commented_on_story,1
asdev,hn_44940089,commented_on_story,1
ashutosh-mishra,hn_44742251,commented_on_story,1
astrea,hn_28191362,commented_on_story,1
athrowaway3z,hn_45163362,commented_on_story,1
atleastoptimal,hn_44742251,commented_on_story,1
atleastoptimal,hn_47006615,commented_on_story,2
atonalfreerider,hn_29016506,commented_on_story,1
atonse,hn_44042070,commented_on_story,1
atxtechbro,hn_43410866,commented_on_story,1
auggierose,hn_27697884,commented_on_story,1
aught,hn_43739037,commented_on_story,1
aunch,hn_35152851,commented_on_story,1
aunty_helen,hn_47963204,commented_on_story,1
aura-guard,hn_46996368,commented_on_story,1
ausbah,hn_29016506,commented_on_story,1
aussieguy1234,hn_45163362,commented_on_story,1
austin-cheney,hn_44148317,commented_on_story,1
autobodie,hn_44302870,commented_on_story,1
autocracy101,hn_47586778,commented_on_story,1
autocracy101,hn_47597085,commented_on_story,1
autocracy101,hn_47597085,posted_story,1
avaer,hn_47584540,commented_on_story,1
avital,hn_44042070,commented_on_story,1
awongh,hn_46089546,commented_on_story,1
axegon_,hn_43448432,commented_on_story,1
axegon_,hn_47167931,commented_on_story,1
axg11,hn_31405976,commented_on_story,1
aymandfire,hn_42857231,commented_on_story,1
aymandfire,hn_42857231,posted_story,1
azinman2,hn_27676266,commented_on_story,1
azinman2,hn_43163011,commented_on_story,1
baalimago,hn_43708025,commented_on_story,1
baby,hn_29016506,commented_on_story,1
baby,hn_31825742,commented_on_story,1
babyshake,hn_32327711,commented_on_story,1
badthingfactory,hn_47521799,commented_on_story,1
bakugo,hn_35657982,commented_on_story,1
bakugo,hn_43163011,posted_story,1
balajmarius,hn_46420453,posted_story,1
ballenf,hn_27687450,commented_on_story,1
bamboozled,hn_46227422,commented_on_story,1
banq,hn_44302870,commented_on_story,1
barbs,hn_46985151,commented_on_story,1
barelysapient,hn_46765120,commented_on_story,1
barotalomey,hn_43193018,commented_on_story,1
baryphonic,hn_27687450,commented_on_story,1
bastardoperator,hn_35152851,commented_on_story,1
bastawhiz,hn_43815033,commented_on_story,1
bathtub365,hn_44042070,commented_on_story,1
bauerd,hn_47878905,commented_on_story,1
bayindirh,hn_46978710,commented_on_story,1
bcherny,hn_43163011,commented_on_story,1
bcherny,hn_46978710,commented_on_story,1
bcherny,hn_47660925,commented_on_story,1
beanjuiceII,hn_31825742,commented_on_story,1
beardsciences,hn_46810282,commented_on_story,1
beardyw,hn_43068027,commented_on_story,1
bearjaws,hn_47664912,commented_on_story,1
bee_rider,hn_46542036,commented_on_story,1
beepbooptheory,hn_42453341,commented_on_story,1
beernet,hn_43815033,commented_on_story,1
belter,hn_27687450,commented_on_story,1
ben30,hn_45320431,commented_on_story,1
bencyoung,hn_44031432,commented_on_story,1
bentt,hn_46227422,commented_on_story,1
benwills,hn_47838508,commented_on_story,1
bernardlunn,hn_40387453,posted_story,1
bfioca,hn_40456457,posted_story,1
bglazer,hn_43448432,commented_on_story,1
bgwalter,hn_46089546,commented_on_story,1
bhagyeshsp,hn_48037128,commented_on_story,1
bhouston,hn_46420453,commented_on_story,1
bicepjai,hn_45416228,commented_on_story,1
big-chungus4,hn_47006615,commented_on_story,1
bilater,hn_46545620,commented_on_story,1
billy99k,hn_42963279,commented_on_story,1
bionhoward,hn_44031432,commented_on_story,1
birdculture,hn_43448432,posted_story,1
bitbasher,hn_43246130,commented_on_story,1
bitlad,hn_36495680,commented_on_story,1
bitwize,hn_43988315,commented_on_story,1
bitwize,hn_47167931,commented_on_story,1
bityard,hn_40919253,commented_on_story,1
bityard,hn_47878905,commented_on_story,1
bjacobso,hn_46545620,commented_on_story,1
bjoli,hn_46227422,commented_on_story,1
bkryza,hn_47584540,commented_on_story,1
bkuhn,hn_33457063,commented_on_story,1
blackbear_,hn_39853123,commented_on_story,1
blackbrokkoli,hn_33457063,commented_on_story,1
blahgeek,hn_44811567,commented_on_story,1
blcknight,hn_47586778,commented_on_story,1
blintz,hn_35152851,commented_on_story,1
blobbers,hn_47167931,commented_on_story,1
blobbers,hn_47584540,commented_on_story,1
bluefirebrand,hn_44493503,commented_on_story,1
bluejay2387,hn_46765120,commented_on_story,1
bluejekyll,hn_47077676,commented_on_story,1
bmitc,hn_33226515,commented_on_story,1
bob1029,hn_46542036,commented_on_story,1
bob1029,hn_46734302,commented_on_story,1
bob1029,hn_47006615,commented_on_story,1
bob1029,hn_47584540,commented_on_story,1
bodge5000,hn_44864185,commented_on_story,1
bodge5000,hn_46542036,commented_on_story,1
boesboes,hn_47923357,commented_on_story,1
bombdailer,hn_46089546,commented_on_story,1
boomskats,hn_44031432,commented_on_story,1
boringuser2,hn_35470915,commented_on_story,1
born_a_skeptic,hn_47923357,commented_on_story,1
borski,hn_46089546,commented_on_story,1
bottlepalm,hn_35264725,commented_on_story,1
boutell,hn_46978710,commented_on_story,1
bovermyer,hn_46765460,commented_on_story,1
bowmessage,hn_31211280,commented_on_story,1
bradly,hn_43988315,commented_on_story,1
brailsafe,hn_46985151,commented_on_story,1
brainless,hn_45163362,commented_on_story,1
brandall10,hn_47106686,commented_on_story,1
brandensilva,hn_47597085,commented_on_story,1
brandensilva,hn_47768133,commented_on_story,1
brauhaus,hn_47597085,commented_on_story,1
bravogamma,hn_27676266,commented_on_story,1
breckenedge,hn_44493503,commented_on_story,1
brentable,hn_37065734,commented_on_story,1
brentm,hn_43448432,commented_on_story,1
bronkic,hn_46985151,commented_on_story,1
brooke2k,hn_43988315,commented_on_story,1
brotherjerky,hn_44811567,commented_on_story,1
brown,hn_35657982,commented_on_story,1
brundolf,hn_27676266,commented_on_story,1
bryanhogan,hn_47584540,commented_on_story,1
bryanhogan,hn_47768133,commented_on_story,1
bryanhogan,hn_47963204,commented_on_story,1
bs7280,hn_47664912,commented_on_story,1
bsgeraci,hn_47597085,commented_on_story,1
bsza,hn_40919253,commented_on_story,1
btheunissen,hn_46227422,commented_on_story,1
btown,hn_46593022,commented_on_story,1
bubblyworld,hn_44742251,commented_on_story,1
bugglebeetle,hn_42453341,commented_on_story,1
buppermint,hn_45722635,commented_on_story,1
burgalon,hn_28152743,posted_story,1
burnstek,hn_47282777,commented_on_story,1
buserror,hn_44742251,commented_on_story,1
butlike,hn_46420453,commented_on_story,1
butz,hn_42453341,commented_on_story,1
buzzy_hacker,hn_33457063,commented_on_story,1
bww,hn_27676266,commented_on_story,1
byoung2,hn_44148317,commented_on_story,1
byteface,hn_27697884,commented_on_story,1
cadamsdotcom,hn_43988315,commented_on_story,2
cadamsdotcom,hn_45416228,commented_on_story,1
cadamsdotcom,hn_47106686,commented_on_story,1
cajohn0205,hn_40456457,commented_on_story,1
cal85,hn_31825742,commented_on_story,1
calepayson,hn_46089546,commented_on_story,1
camillomiller,hn_44302870,commented_on_story,1
canadev,hn_27697884,commented_on_story,1
caprock,hn_43462171,commented_on_story,1
captainepoch,hn_44940089,commented_on_story,1
captaintobs,hn_35958304,commented_on_story,1
carlosjobim,hn_44302870,commented_on_story,1
caseysoftware,hn_44031432,commented_on_story,1
caslon,hn_28126015,commented_on_story,1
cattown,hn_35657982,commented_on_story,1
causal,hn_47586778,commented_on_story,1
causal,hn_47633396,commented_on_story,1
caymanjim,hn_46985151,commented_on_story,1
cbm-vic-20,hn_32577624,commented_on_story,1
cbsks,hn_27676266,commented_on_story,1
